Inventarnummer;Seriennummer;calibration
223.000.880;100400888;y = -2,9143x + 5065,4
223.000.881;100400890;y = -2,1633x + 4708,1
223.000.882;100400891;y = -2,3809x + 4901,7
223.000.883;100400892;y = -0,8996x + 4639,1
223.000.884;100400893;y = -2,7287x + 4808,4
223.000.885;100400894;y = -0,7989x + 4769,6
223.000.886;100500086;y = -1,8322x + 4868,7
223.000.887;100500087;y = -1,4558x + 4571,4
223.000.888;100500088;y = -1,532x + 4739,3
223.000.889;100500089;y = -2,2071x + 4615,8
223.000.890;100500090;y = -1,6187x + 4765,5
223.000.891;100500091;y = -1,3491x + 4772,1
223.000.892;100500092;y = -0,9484x + 4804,4
223.000.893;100500093;y = -0,8972x + 4815,4
223.000.894;100500094;y = -1,7649x + 4852,5
223.000.895;100500095;y = -1,5447x + 4606,9
223.000.896;100500096;y = -1,4806x + 4829,4
223.000.897;100500097;y = -1,6619x + 4812,6
223.000.898;100500098;y = -1,5667x + 5316,9
223.000.899;100500099;y = -1,0192x + 4643,8
223.000.900;100500100;y = -0,6331x + 4765,5
223.000.901;100500101;y = -2,0107x + 4835,8
223.000.902;100500102;y = -0,7215x + 4538,2
223.000.903;100500103;y = -0,7708x + 4739,4
223.000.904;100500104;y = -2,0789x + 4805,6
223.000.905;100500105;y = -1,4868x + 4709,3
223.000.906;100500106;y = -1,0692x + 4713,5
223.000.907;100500107;y = -1,1608x + 4803,6
223.000.908;100500108;y = -1,2863x + 4769,6
223.000.909;100500109;y = -1,4593x + 4633,9
223.000.910;100500110;y = -0,8609x + 4625,2
223.000.911;100500111;y = -3,067x + 4848,8
223.000.912;100500112;y = -0,9775x + 4817
223.000.913;100500113;y = -1,1948x + 4720,8
223.000.914;100500114;y = -1,0558x + 4716,7
223.000.915;100500115;y = -1,5081x + 4601,6
..037;;y = -3,9497x + 4840,5
..038;;y = -1,6729x + 4862,5
..228;;y = -1,7553x + 4777,8
..229;;y = -1,2376x + 4737,4
